PLAYER_ID,Player,Team,Position
1641780,Johni Broome,Philadelphia 76ers,F
201569,Eric Gordon,Philadelphia 76ers,G
1631230,Dominick Barlow,Philadelphia 76ers,F
1641737,Adem Bona,Philadelphia 76ers,F
1631133,Jabari Walker,Philadelphia 76ers,F
1642282,Hunter Sallis,Philadelphia 76ers,G
1642845,VJ Edgecombe,Philadelphia 76ers,G
1626220,Royce O'Neale,Phoenix Suns,F
1642346,Ryan Dunn,Phoenix Suns,F
1626164,Devin Booker,Phoenix Suns,G
1630208,Nick Richards,Phoenix Suns,C
1628415,Dillon Brooks,Phoenix Suns,G-F
1630224,Jalen Green,Phoenix Suns,G
1628960,Grayson Allen,Phoenix Suns,G
1642863,Khaman Maluach,Phoenix Suns,C
1642345,Oso Ighodaro,Phoenix Suns,F
1631221,Collin Gillespie,Phoenix Suns,G
1630587,Isaiah Livers,Phoenix Suns,F
1642886,Koby Brea,Phoenix Suns,G
1631109,Mark Williams,Phoenix Suns,C
1642853,Rasheer Fleming,Phoenix Suns,F
1628502,Nigel Hayes-Davis,Phoenix Suns,F
1643047,CJ Huntley,Phoenix Suns,F
1630692,Jordan Goodwin,Phoenix Suns,G
203081,Damian Lillard,Portland Trail Blazers,G
1630703,Scoot Henderson,Portland Trail Blazers,G
1631104,Blake Wesley,Portland Trail Blazers,G
1631126,Caleb Love,Portland Trail Blazers,G
1629680,Matisse Thybulle,Portland Trail Blazers,G-F
201950,Jrue Holiday,Portland Trail Blazers,G
1630166,Deni Avdija,Portland Trail Blazers,F
203924,Jerami Grant,Portland Trail Blazers,F
1642905,Yang Hansen,Portland Trail Blazers,C
1631101,Shaedon Sharpe,Portland Trail Blazers,G
1631451,Javonte Cooke,Portland Trail Blazers,G
1641712,Rayan Rupert,Portland Trail Blazers,G-F
1642270,Donovan Clingan,Portland Trail Blazers,C
1631200,Kris Murray,Portland Trail Blazers,F
1641871,Duop Reath,Portland Trail Blazers,C
1641739,Toumani Camara,Portland Trail Blazers,F
1629057,Robert Williams III,Portland Trail Blazers,C-F
1631321,Sidy Cissoko,Portland Trail Blazers,G
1641815,Isaiah Stevens,Sacramento Kings,G
